,Id,Samlet fravær,Klasse,Fag,Fravær,Fag.1,Fravær.1,Fag.2,Fravær.2,Fag.3,Fravær.3
0,214366,100%,Web and Soft Electives,Big Data,100%,,,,,,
1,680092,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
2,906441,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
3,432875,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
4,146518,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
5,864755,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
6,464972,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
7,728877,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
8,419492,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
9,205702,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
10,379715,100%,SD18i,DLS,100%,System Integration,100%,,,,
11,668900,100%,SD18i,DLS,100%,System Integration,100%,,,,
12,695323,100%,SD18i,DLS,100%,System Integration,100%,Big Data,100%,,
13,196127,100%,SD18i,DLS,100%,System Integration,100%,Software Design Patterns,100%,,
14,879153,100%,SD18i,DLS,100%,System Integration,100%,,,,
15,890965,100%,SD18i,DLS,100%,System Integration,100%,Data Science,100%,,
16,577358,100%,SD18i,DLS,100%,System Integration,100%,Quantum Computing,100%,,
17,247407,100%,SD18i,DLS,100%,System Integration,100%,Big Data,100%,,
18,184619,100%,SD18i,DLS,100%,System Integration,100%,,,,
19,873190,100%,SD18i,DLS,100%,System Integration,100%,Software Design Patterns,100%,,
20,268525,100%,SD18i,DLS,100%,System Integration,100%,Software Design Patterns,100%,,
21,510605,100%,Web and Soft Electives,Angular,100%,Web Security,100%,,,,
22,296184,100%,ITS19w1,Intro til IT Sikkerhed,100%,Net. and Com. security,100%,System Security,100%,,
23,215571,96.9%,ITS18a,Security for mobile devices,100%,IT Governance 2,0%,Security Engineering,100%,Reverse Eng. Malware,100%
24,542155,96.9%,ITS18a,Security for mobile devices,100%,IT Governance 2,0%,Security Engineering,100%,Reverse Eng. Malware,100%
25,825970,96.9%,ITS18a,Security for mobile devices,100%,IT Governance 2,0%,Security Engineering,100%,Reverse Eng. Malware,100%
26,105304,90.9%,Web and Soft Electives,Angular,80%,Web Security,100%,,,,
27,543558,88.5%,ITS19w1,Intro til IT Sikkerhed,72.22%,Net. and Com. security,100%,System Security,100%,,
28,708074,88%,SD19w1,Databases,100%,Test,79.31%,Quantum Computing,100%,,
29,613200,87.7%,ITS18a,Security for mobile devices,85.71%,IT Governance 2,0%,Security Engineering,87.88%,Reverse Eng. Malware,100%
30,615329,86.2%,ITS18a,Security for mobile devices,85.71%,IT Governance 2,0%,Security Engineering,100%,Reverse Eng. Malware,68.75%
31,699025,86.2%,Web and Soft Electives,Big Data,63.64%,Test,100%,,,,
32,751804,86.2%,Web19w1,Web Development,55.56%,Interface Design,100%,Databases,100%,,
33,328555,85.5%,SD19w1,Databases,50%,Test,79.31%,Software Design Patterns,100%,,
34,723459,84.6%,ITS18a,Security for mobile devices,100%,IT Governance 2,0%,Security Engineering,100%,Reverse Eng. Malware,50%
35,396493,77%,ITS19w1,Intro til IT Sikkerhed,61.11%,Net. and Com. security,87.5%,System Security,88.89%,,
36,635774,72.4%,SD18i,DLS,68.42%,System Integration,100%,Data Science,75%,,
37,646053,72.1%,SD18i,DLS,68.42%,System Integration,0%,Big Data,81.82%,,
38,879390,71.3%,ITS19w1,Intro til IT Sikkerhed,55.56%,Net. and Com. security,75%,System Security,88.89%,,
39,666991,71.2%,Web and Soft Electives,Big Data,18.18%,Databases,50%,Test,100%,,
40,397345,70.1%,ITS19w1,Intro til IT Sikkerhed,61.11%,Net. and Com. security,100%,System Security,55.56%,,
41,179935,70.1%,ITS19w1,Intro til IT Sikkerhed,61.11%,Net. and Com. security,87.5%,System Security,66.67%,,
42,263323,68%,SD19w1,Databases,50%,Test,68.97%,Big Data,100%,,
43,135632,67.8%,ITS19w1,Intro til IT Sikkerhed,88.89%,Net. and Com. security,50%,System Security,55.56%,,
44,858209,67.7%,ITS18a,Security for mobile devices,85.71%,IT Governance 2,0%,Security Engineering,57.58%,Reverse Eng. Malware,81.25%
45,196056,67.7%,ITS18a,Security for mobile devices,85.71%,IT Governance 2,0%,Security Engineering,72.73%,Reverse Eng. Malware,50%
46,666120,66.7%,ITS19w1,Intro til IT Sikkerhed,61.11%,Net. and Com. security,75%,System Security,66.67%,,
47,857723,65.4%,SD18i,DLS,73.68%,System Integration,100%,Data Science,57.14%,,
48,371558,63.6%,Web and Soft Electives,Angular,60%,Web Security,66.67%,,,,
49,694322,63.6%,Web and Soft Electives,Angular,100%,Web Security,33.33%,,,,
50,437341,63.6%,Web and Soft Electives,Angular,100%,Web Security,33.33%,,,,
51,585127,59.8%,ITS19w1,Intro til IT Sikkerhed,61.11%,Net. and Com. security,75%,System Security,44.44%,,
52,280032,58.5%,ITS18a,Security for mobile devices,92.86%,IT Governance 2,0%,Security Engineering,60.61%,Reverse Eng. Malware,31.25%
53,104328,57.5%,ITS19w1,Intro til IT Sikkerhed,55.56%,Net. and Com. security,87.5%,System Security,33.33%,,
54,530097,55.2%,Web19w1,Web Development,22.22%,Interface Design,72.22%,Databases,50%,,
55,541960,54.5%,Web and Soft Electives,Angular,60%,Web Security,50%,,,,
56,811371,54.5%,Web and Soft Electives,Angular,100%,Web Security,16.67%,,,,
57,111019,54.5%,Web and Soft Electives,Angular,100%,Web Security,16.67%,,,,
58,699958,53%,Web and Soft Electives,Big Data,22.73%,Databases,0%,Test,71.43%,,
